symbol,full_symbol,volume,price,price_change
BTC,BTCUSDT,4732592721.840404,67985.18,3.053
ETH,ETHUSDT,3051484811.379359,2008.72,4.307
XRP,XRPUSDT,746705751.45652,1.4098,6.144
SOL,SOLUSDT,611091356.78285,85.01,4.307
BNB,BNBUSDT,211032669.90007,635.29,0.755
DOGE,DOGEUSDT,162219553.71009,0.09527,2.573
ADA,ADAUSDT,132757586.31567,0.2674,3.845
ZEC,ZECUSDT,119470816.82639,231.33,5.611
SUI,SUIUSDT,86176595.67804,0.9754,4.276
TRX,TRXUSDT,80521154.99219,0.2741,1.519
PAXG,PAXGUSDT,79431603.12161,4947.61,1.597
LINK,LINKUSDT,59776153.9365,8.61,4.49
PEPE,PEPEUSDT,55628297.7553996,3.77e-06,2.725
WLFI,WLFIUSDT,55379702.82238,0.101,-7.424
LTC,LTCUSDT,46855532.66023,53.38,2.832
BCH,BCHUSDT,46417389.1966,516.6,9.149
BERA,BERAUSDT,45583093.124085,0.451,13.602
AVAX,AVAXUSDT,40183195.449,9.0,4.287
HBAR,HBARUSDT,38911965.83523,0.08744,4.244
EUR,EURUSDT,38439034.68678,1.1783,-0.136
PUMP,PUMPUSDT,37766723.671077,0.002009,-1.616
ASTER,ASTERUSDT,37101894.91856,0.538,4.264
SENT,SENTUSDT,33140661.49499,0.02925,0.137
TAO,TAOUSDT,31941106.28098,164.1,-1.501
WLD,WLDUSDT,31473264.38903,0.3958,9.67
ENA,ENAUSDT,26266686.031476,0.122,2.78
XLM,XLMUSDT,24989127.0356,0.1582,2.329
ZAMA,ZAMAUSDT,24723060.38909,0.03016,6.048
PROVE,PROVEUSDT,24718478.4914,0.3342,14.531
UNI,UNIUSDT,23780739.96156,3.457,5.172
NEAR,NEARUSDT,23634300.2253,1.053,4.568
AAVE,AAVEUSDT,22259330.89323,110.74,4.58
FIL,FILUSDT,20927187.82679,0.952,4.158
TRUMP,TRUMPUSDT,19115365.552925,3.332,0.361
WBTC,WBTCUSDT,18465256.4862227,67869.1,3.13
WIF,WIFUSDT,18210211.85364,0.226,3.67
XPL,XPLUSDT,18181854.52391,0.0804,0.878
币安人生,币安人生USDT,15991292.76007,0.0964,-5.025
ARB,ARBUSDT,15337762.00241,0.1163,4.399
ENSO,ENSOUSDT,15184674.36527,1.348,-4.533
PENGU,PENGUUSDT,15148334.070797,0.006384,1.511
ICP,ICPUSDT,15127340.64573,2.415,2.679
ONDO,ONDOUSDT,14959675.63745,0.2493,4.792
VIRTUAL,VIRTUALUSDT,14863112.08116,0.5687,3.494
